Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2015-12-15,11,3918,1732598,446,440,445
2015-12-16,14,7554,3401659,453,448,450
2015-12-17,10,1388,637154,468,451,465
2015-12-20,42,16618,7859498,483,462,481
2015-12-21,179,47347,24243546,529,481,529
2015-12-22,96,21836,11421371,559,510,512
2015-12-23,26,6162,3098292,510,496,496
2015-12-24,45,11469,5764821,510,490,510
2015-12-27,31,12349,6175634,505,499,502
2015-12-28,16,2290,1144350,504,497,499
2015-12-29,31,7138,3572922,508,496,500
2015-12-31,29,5772,2944277,513,500,508
2016-01-03,24,8407,4251883,518,499,518
2016-01-04,37,6760,3441749,528,502,506
2016-01-05,20,4135,2078994,515,500,505
2016-01-06,21,4686,2343512,507,495,500
2016-01-07,32,7371,3793858,520,505,515
2016-01-10,23,5622,2894903,520,506,518
2016-01-11,42,11440,5985031,529,511,525
2016-01-12,25,4907,2569746,526,521,521
2016-01-13,19,2677,1399719,531,517,529
2016-01-14,56,22823,12096491,545,524,545
2016-01-17,130,69927,39014550,591,541,575
2016-01-18,103,19463,11291000,608,561,580
2016-01-19,54,15212,8613242,576,547,568
2016-01-20,136,53666,31675099,615,579,593
2016-01-21,101,23814,13960635,600,577,583
2016-01-24,85,34629,20527497,599,589,599
2016-01-25,34,7231,4345564,615,594,595
2016-01-26,49,16386,9752865,601,593,595
2016-01-27,24,4958,2893376,590,580,585
2016-01-28,29,6324,3664624,585,576,582
2016-01-31,21,5068,2918430,590,571,574
2016-02-01,47,12969,7545537,588,572,584
2016-02-02,33,7156,4168977,595,580,580
2016-02-03,26,4671,2684609,580,572,574
2016-02-04,49,11203,6492736,589,573,589
2016-02-07,51,12440,7361320,604,585,595
2016-02-08,43,10270,6059581,594,584,590
2016-02-11,21,4680,2730671,590,580,580
2016-02-14,46,7802,4436076,579,561,570
2016-02-15,37,10726,6061864,590,555,590
2016-02-16,19,4767,2799893,600,571,576
2016-02-17,68,14601,8528821,590,560,590
2016-02-18,57,20751,12270075,596,588,588
2016-02-21,54,21553,12728549,598,585,590
2016-02-22,35,6229,3688123,595,585,590
2016-02-23,71,16364,9764387,609,585,605
2016-02-24,21,4249,2518299,603,590,595
2016-02-25,33,5816,3430324,605,581,585
2016-02-28,35,10168,6007273,595,587,590
2016-02-29,22,4735,2780790,590,586,589
2016-03-01,26,4675,2730512,590,583,585
2016-03-02,34,3609,2136405,609,580,599
2016-03-03,122,31519,19177235,620,590,617
2016-03-06,92,22567,14134927,635,610,630
2016-03-10,189,69293,46707061,693,640,693
2016-03-13,444,133833,95856392,734,700,707
2016-03-14,143,31398,21493117,715,665,672
2016-03-15,76,14526,9613635,674,655,665
2016-03-16,48,9375,6249373,679,655,674
2016-03-17,72,14604,9756375,672,665,665
2016-03-20,68,16552,10983700,671,656,660
2016-03-21,102,24495,16078607,666,648,648
2016-03-23,46,8568,5600722,664,648,653
2016-03-24,64,11367,7485528,678,651,655
2016-03-27,107,25338,16658204,673,650,673
2016-03-28,64,16225,10830318,685,658,671
2016-03-29,44,7922,5281524,673,657,669
2016-03-30,53,8799,5864634,680,661,665
2016-03-31,40,7572,4988530,663,655,658
2016-04-03,72,15676,10478399,690,652,670
2016-04-04,78,12643,8525338,680,670,680
2016-04-05,114,22777,15508820,685,670,684
2016-04-06,104,17535,11952975,689,677,680
2016-04-10,193,35135,23737440,685,670,671
2016-04-11,22,2445,1409412,584,572,576
2016-04-12,9,1071,603510,565,560,560
2016-04-14,17,3092,1771336,591,560,591
2016-04-17,35,7426,4379665,602,582,595
2016-04-18,43,12148,7248505,612,570,612
2016-04-19,27,2370,1416095,605,590,599
2016-04-20,54,12246,7361983,607,596,605
2016-04-21,66,26726,16235359,630,595,630
2016-04-24,53,11906,7541497,649,622,640
2016-04-25,55,11479,7493199,663,641,655
2016-04-26,38,6470,4155678,651,638,638
2016-04-27,55,10197,6611583,655,632,647
2016-04-28,40,7618,4933592,651,638,638
2016-05-02,39,18127,11467485,645,627,640
2016-05-03,39,7259,4633403,644,635,640
2016-05-04,27,5406,3414300,639,629,632
2016-05-05,26,6608,4139075,632,610,632
2016-05-08,36,5668,3564553,644,617,634
2016-05-09,71,20133,13029520,663,640,649
2016-05-10,34,3444,2241677,659,637,642
2016-05-11,41,11538,7490374,655,640,655
2016-05-12,92,26491,17477537,673,655,673
2016-05-15,31,4754,3149707,667,654,666
2016-05-16,24,4406,2896216,663,653,663
2016-05-17,69,16189,10889112,680,662,680
2016-05-18,43,7927,5423667,693,680,683
2016-05-19,52,14300,9713996,694,675,684
2016-05-22,24,2404,1636156,686,670,680
